"Año","precio_de_venta","km_impulsado","combustible","transmission","Dueño"
2009,140000,100000,1,2,1
2010,280000,350000,2,2,2
2011,350000,230000,2,2,1
2017,570000,60000,2,2,1
2018,300000,31000,1,2,1
2007,100000,39000,2,2,1
2009,500000,120000,2,2,3
2014,125000,166000,2,2,4
2006,130000,110000,1,2,3
2017,925000,35000,2,2,1
2018,750000,60000,2,2,1
2007,200000,54000,1,1,2
2010,248000,63000,1,2,2
2014,450000,120000,2,2,2
2005,80000,120000,1,2,3
2014,650000,76000,1,2,2
2015,450000,80000,2,2,1
2019,650000,25000,2,2,1
2016,495000,11958,1,2,1
2015,371000,20000,1,2,1
2017,1025000,9000,1,2,1
2017,8150000,6500,2,1,1
2015,750000,70000,2,2,1
2013,600000,120000,2,2,1
2007,80000,58000,1,2,2
2013,325000,62200,2,2,1
2014,1470000,34000,2,1,2
2015,350000,53000,2,2,2
2013,2800000,49000,2,1,1
2017,210000,15000,1,2,2
2013,450000,50000,1,2,1
2013,1150000,53000,2,1,1
2009,210000,63500,1,1,1
2018,4500000,9800,1,1,1
2017,2750000,13000,2,1,1
2018,1975000,21000,2,1,1
2008,175000,29173,1,2,1
2012,2500000,48000,2,1,1
2017,628000,120000,2,2,1
2010,600000,100000,2,2,1
2017,399000,30000,1,2,1
2018,750000,87000,2,2,1
2019,750000,15000,1,2,1
2017,315000,16000,1,2,1
2012,600000,60000,2,2,1
2010,100000,60000,1,2,4
2011,250000,110000,1,2,3
2017,350000,25000,1,2,1
2016,780000,60000,2,2,1
2014,434000,79350,2,2,2
2016,690000,80000,1,1,1
2014,555000,90000,2,2,2
2007,120000,90000,1,2,2
2014,500000,120000,2,2,2
2013,165000,60000,2,2,2
2004,95000,50000,1,2,1
2018,550000,20000,1,2,1
2007,100000,110000,2,2,4
2012,100000,50000,1,2,2
2012,500000,100000,2,2,1
2016,800000,70000,2,2,2
2016,840000,70000,2,2,2
2016,490000,50000,1,2,1
2010,125000,81000,2,2,2
2012,400000,120000,2,2,3
2015,1000000,3600,2,2,1
2015,530000,14272,1,2,1
2017,840000,49213,2,2,1
2015,229999,40000,1,2,1
1998,40000,40000,1,2,4
2012,130000,80000,1,2,1
2015,200000,70000,1,2,1
2011,120000,70000,2,2,1
2003,75000,57000,1,2,1
2016,250000,120000,2,2,1
2005,100000,30000,1,2,1
2013,280000,3240,1,2,2
2015,540000,5000,1,2,1
2018,700000,10000,1,2,1
2015,525000,100000,2,2,1
2016,430000,80000,2,2,1
2002,65000,70000,1,2,1
2018,800000,35000,2,2,1
2007,75000,114000,1,2,2
2008,210000,53772,1,2,1
2012,195000,140000,2,2,2
2015,400000,120000,2,2,1
2012,170000,60000,1,2,1
2016,225000,25000,1,2,1
2014,210000,90000,4,2,1
2020,240000,120000,1,2,1
2015,300000,175000,2,2,1
2011,99000,100000,1,2,3
2014,620000,36000,1,2,1
2013,500000,30000,2,2,1
2010,2550000,40000,1,1,2
2013,260000,70000,1,2,2
2017,550000,60000,1,2,1
2011,150000,155500,2,2,1
2011,350000,50000,1,1,2
2016,320000,40000,1,2,1
2015,400000,100000,2,2,3
2012,175000,80000,1,2,3
2011,120000,90000,1,2,2
2013,320000,90000,2,2,2
2006,70000,110000,1,2,3
2019,810000,15000,1,2,1
2007,95000,100000,1,2,2
2020,282000,40000,3,2,1
2004,80000,60000,1,2,2
2013,72000,25000,1,2,1
2016,600000,25000,1,2,1
2015,640000,23000,1,2,1
2018,380000,22155,1,2,1
2018,650000,70000,1,2,1
2009,150000,60000,1,2,2
2009,280000,110000,1,2,2
2018,430000,30000,1,2,1
2019,800000,15000,2,2,1
2003,75000,100000,2,2,2
2016,650000,70000,2,1,1
2017,390000,24000,1,2,1
2005,100000,120000,1,2,2
2013,1500000,35000,2,1,1
2007,175000,78380,1,2,1
2012,434999,110000,2,2,2
2010,170000,90000,2,2,3
2011,190000,90000,2,2,3
2009,250000,150000,2,2,3
2009,229999,230000,2,2,3
2006,140000,70000,1,2,3
2017,600000,80362,2,2,1
2012,280000,110000,1,2,3
2012,150000,60000,2,2,1
2015,650000,50000,2,1,1
2014,210000,40000,1,2,2
2017,2900000,40000,2,1,1
2013,425000,20000,2,2,1
2014,265000,55000,1,2,1
2018,890000,1136,1,2,1
2013,365000,55000,1,2,1
2014,350000,43000,1,2,1
2016,685000,60000,2,2,1
2018,940000,2650,2,2,1
2017,1000000,40000,2,2,1
2019,1150000,15000,1,2,1
2016,450000,115962,2,2,2
2015,590000,65000,2,2,1
2017,800000,40000,2,2,1
2012,385000,58000,2,2,1
2013,2000000,15000,2,1,1
2012,235000,54000,1,2,1
2017,640000,56000,2,2,1
2006,52000,120000,1,2,3
2009,80000,90000,4,2,2
2012,140000,70000,1,2,2
2008,120000,90000,1,2,2
2008,89999,213000,2,2,1
2012,180000,120000,2,2,1
2017,1500000,20000,2,2,1
2017,700000,10000,1,2,1
2012,285000,80000,2,2,2
2015,390000,90000,1,2,1
2008,125000,80000,1,2,1
2008,225000,60000,1,2,2
2011,175000,139000,1,2,2
2011,1075000,160000,2,2,2
2014,300000,150000,2,2,1
2010,700000,163000,2,2,4
2009,90000,120000,2,2,1
2011,120000,120000,2,2,2
2012,220000,100000,2,2,2
2015,300000,140000,2,2,1
2010,180000,87000,2,2,2
2013,170000,70000,1,2,1
2015,300000,50000,1,2,2
2014,1050000,70000,2,2,1
2014,300000,150000,2,2,1
2018,465000,25000,2,2,1
2011,130000,80000,2,2,2
2018,434999,10000,1,2,1
2018,500000,32000,1,2,1
2018,200000,10000,1,2,1
2017,625000,52000,1,2,1
2006,110000,120000,2,2,3
2019,800000,11240,1,2,1
2017,490000,66000,2,2,1
2017,880000,64000,2,2,1
2013,290000,49000,1,2,1
2006,115999,100000,2,2,2
2018,360000,26500,1,2,1
2002,65000,100000,1,2,2
2017,685000,72000,2,2,1
2009,300000,50000,1,2,1
2017,680000,44000,2,2,1
2017,1000000,60000,2,2,2
2002,100000,120000,2,2,1
2010,160000,130000,2,2,1
2017,450000,70000,2,2,1
2014,600000,20000,1,2,1
2009,180000,60000,2,2,2
2007,100000,195000,1,2,1
2010,120000,90000,1,2,2
2006,130000,80000,1,2,3
2011,160000,155000,1,2,1
2019,860000,35000,2,2,1
2018,650000,20000,1,2,2
2010,100000,80000,1,2,2
2017,282000,20000,1,2,1
2009,300000,50000,1,2,1
2010,270000,110000,1,2,2
2013,550000,29000,2,2,1
2013,450000,120000,2,2,1
2011,430000,70000,2,2,2
2013,350000,40000,1,2,1
2017,350000,20000,1,2,1
2013,229999,50000,1,2,2
2013,110000,50000,1,2,1
2012,395000,49000,1,2,2
2011,650000,70000,2,1,2
2011,350000,90000,2,2,2
2020,1400000,25000,2,2,1
2018,360000,4000,1,2,1
2018,1300000,10000,2,2,1
2015,800000,15000,2,2,1
2018,229999,30000,1,2,1
2014,315000,41000,1,2,1
2012,125000,28000,1,2,1
2019,700000,16000,1,2,1
2015,160000,70000,1,2,1
2017,530000,10832,1,2,1
2018,624000,14681,2,2,1
2009,250000,50000,1,2,1
2016,585000,51000,2,2,1
2015,500000,25000,1,2,1
2014,350000,30000,1,2,1
2014,495000,80000,2,2,1
2017,500000,50000,1,2,1
2015,430000,200000,2,2,1
2013,345000,44000,1,2,1
2015,500000,10000,1,2,1
2019,425000,19600,1,2,1
2005,80000,40000,1,2,2
2011,106000,50000,2,2,1
2009,180000,46730,1,2,1
2015,250000,40000,1,2,2
2011,350000,80000,2,2,1
2002,60000,80000,1,2,2
2018,900000,24000,2,2,1
2017,700000,21170,2,2,1
2013,2000000,167223,2,1,1
2017,1000000,40000,2,2,1
2011,1375000,60000,2,1,1
2016,1800000,141440,2,2,1
2007,160000,120000,2,2,3
2012,525000,140000,1,1,1
2012,850000,212814,2,2,1
2019,800000,30000,2,2,1
2017,700000,88635,2,2,1
2018,800000,25000,2,2,1
2017,575000,20000,1,2,2
2012,350000,110000,2,2,2
2008,250000,120000,2,2,3
2011,600000,149674,2,2,2
2007,370000,100000,2,2,3
2006,80000,120000,1,2,3
2003,50000,120000,2,2,2
2018,900000,25000,2,2,1
2014,300000,35000,1,2,2
2002,125000,40000,1,2,1
2015,490000,60000,2,2,2
2012,300000,50000,2,2,2
2013,55000,25000,1,2,4
2016,350000,25000,1,2,1
2019,755000,8000,2,2,1
2017,720000,60000,2,2,1
2006,229999,200000,2,2,3
2018,1100000,20000,2,2,1
2013,400000,100000,1,2,1
2015,350000,70000,2,2,2
2012,159000,68000,2,2,1
2017,550000,38000,1,2,1
2013,335000,80000,2,2,1
2014,185000,72000,3,2,1
2012,229999,75000,3,2,1
2014,225000,43000,1,2,1
2007,250000,120000,1,2,2
2015,400000,100000,2,2,1
2014,470000,163000,2,2,1
2018,300000,25000,1,1,1
2011,145000,25000,1,2,1
2007,100000,90000,1,2,2
2014,500000,70000,2,2,2
2010,130000,98000,3,2,2
2010,240000,81925,2,2,1
2013,150000,80000,2,2,2
2017,270000,40000,1,2,1
2014,400000,90000,2,2,1
2012,200000,46000,1,2,1
2012,550000,80000,2,2,1
2018,325000,35000,1,2,1
2017,860000,82080,2,1,1
2012,600000,200000,2,2,1
2009,125000,70000,1,2,1
2000,60000,40000,1,2,3
2010,300000,120000,2,2,3
2007,190000,60000,1,2,3
2013,400000,110000,2,2,1
2011,260000,97000,2,2,2
2017,400000,30000,1,2,1
2010,250000,40000,1,2,1
2019,600000,10000,1,2,1
2010,175000,52047,1,2,1
2011,450000,200000,2,2,3
2019,350000,15000,1,1,2
2018,800000,50000,2,2,1
2011,250000,70000,1,2,2
2019,600000,10000,1,2,1
2017,600000,90000,2,2,1
2016,130000,40000,1,2,1
2006,90000,62009,1,2,2
2017,595000,33100,1,2,2
2014,190000,40000,1,2,2
1999,50000,120000,1,2,2
2007,95000,80000,1,2,1
2016,1000000,70000,2,2,1
2006,220000,220000,1,2,2
2010,400000,50000,2,2,1
2015,315000,45000,1,2,2
2014,1000000,110000,2,2,1
2014,500000,49000,2,2,1
2018,1600000,35000,2,1,1
2017,500000,160000,2,2,1
2007,70000,180000,1,2,3
2007,105000,60000,1,2,2
2008,400000,110000,2,2,3
2004,80000,60000,1,2,3
2016,300000,30000,1,2,1
2017,409999,40000,2,2,1
2009,250000,70000,1,2,1
2010,250000,120000,2,2,2
2012,215000,80000,2,2,3
2015,1400000,120000,2,2,1
2018,475000,20000,1,2,1
2018,475000,22000,1,2,1
2008,75000,35000,1,2,2
2013,200000,120000,2,2,2
2019,575000,8000,1,2,1
2011,150000,40000,2,2,2
2018,850000,10000,2,2,1
2019,350000,30000,1,2,1
2011,550000,54000,2,2,2
2017,330000,80577,1,2,1
2017,1044999,25000,2,2,1
2011,300000,127500,2,2,2
2015,235000,40903,1,2,1
2011,120000,60000,1,2,3
2004,130000,46000,1,2,1
2004,275000,22288,2,2,2
2011,270000,180000,2,2,2
2015,500000,30000,2,2,2
2015,400000,61690,1,2,1
2015,600000,64484,1,2,1
2012,1350000,90000,2,1,2
2013,400000,75976,2,2,2
2011,220000,70000,2,2,2
2012,300000,85962,1,2,2
2018,250000,120000,1,2,1
2015,600000,120000,2,2,1
2012,285000,75000,1,1,2
2009,350000,57035,1,2,1
2011,170000,70000,2,2,3
2015,229999,45000,1,2,1
2013,500000,72104,2,2,2
2011,75000,15000,1,2,1
2016,600000,30000,1,2,1
2011,220000,80000,2,2,1
2009,150000,164000,2,2,2
2006,65000,124439,1,2,2
2006,120000,77000,1,2,2
2014,240000,90000,2,2,1
2017,390000,30000,1,2,1
2012,180000,50000,1,2,1
2012,320000,80000,2,2,2
2018,310000,5000,1,2,1
2018,420000,24000,1,1,1
2019,550000,10000,1,2,1
2016,550000,78000,2,2,3
2018,760000,50000,2,2,1
2001,43000,100000,1,2,2
2018,250000,20000,1,2,1
2019,500000,1250,1,2,1
2015,380000,17152,1,2,1
2019,1850000,5000,2,1,1
2012,350000,77000,2,2,1
2008,195000,90000,2,2,2
2011,225000,80000,1,2,2
2015,1125000,65000,2,2,1
2011,133000,80000,2,2,1
2013,200000,24005,1,2,1
2018,940000,20000,2,2,1
2014,400000,120000,2,2,1
2009,120000,120000,1,2,2
2015,625000,80000,2,2,1
2005,110000,80000,1,2,1
2012,490000,100000,2,2,1
2009,140000,120000,1,2,2
2011,175000,149000,2,2,2
2005,90000,65000,1,2,2
2009,275000,100000,2,2,2
2011,300000,65000,2,2,2
2018,270000,19000,1,2,2
2010,130000,80000,1,2,2
2015,275000,30000,1,2,1
2012,352000,109000,2,2,1
2012,180000,90000,4,2,1
2012,150000,90000,1,2,1
2011,300000,65000,2,2,2
2010,300000,110000,2,2,2
2007,225000,120000,2,2,1
2014,600000,44000,2,2,1
2015,500000,80000,1,2,1
2018,900000,5000,1,2,1
2016,600000,61000,1,2,1
2011,450000,100000,2,2,2
2009,270000,27633,1,2,1
2010,310000,100000,2,2,3
2012,250000,100000,4,2,1
2019,700000,12586,1,2,1
2018,650000,38083,2,2,1
2012,400000,55328,2,2,1
2012,425000,81632,2,2,1
2016,600000,155201,2,2,1
2013,600000,93283,2,2,1
2009,300000,217871,2,2,1
2012,450000,90165,2,2,1
2014,750000,101504,2,2,1
2010,325000,86017,2,2,2
2013,900000,85036,2,2,2
2006,180000,91086,1,2,2
2013,350000,160254,2,2,2
2013,600000,125531,2,2,2
2019,900000,60000,2,2,1
2006,350000,100000,2,2,1
2013,280000,90000,2,2,3
2009,225000,120000,2,2,2
2014,520000,82000,2,2,1
2016,509999,60000,2,2,1
2019,556000,24000,1,2,1
2014,225000,120000,2,2,1
2013,325000,65000,2,2,1
2013,365000,65000,2,2,1
2015,850000,84000,2,2,1
2013,350000,75000,2,2,1
2007,225000,50000,2,2,1
2011,135000,50000,1,2,1
2007,140000,49000,1,2,1
2016,665000,560000,2,2,1
2015,275000,14365,1,2,1
2017,2750000,41000,2,1,1
2013,484999,65000,2,2,1
2015,565000,65000,2,2,1
2013,425000,61083,2,2,1
2013,925000,75000,2,2,1
2012,565000,72000,2,2,1
2014,525000,65000,2,2,1
2017,1650000,55000,2,2,1
2015,295000,21000,1,2,2
2012,2050000,66363,1,1,2
2018,1475000,11700,1,1,1
2017,1100000,10000,1,1,1
2014,4400000,100000,2,1,2
2016,670000,7104,1,2,1
2015,750000,45974,2,2,1
2015,760000,55340,1,2,1
2017,850000,20000,1,1,2
2015,390000,61585,2,2,1
2016,450000,39415,1,1,2
2014,425000,29654,1,2,1
2016,770000,64672,2,2,1
2015,1150000,54634,2,1,2
2015,775000,66521,1,2,1
2018,1725000,23974,2,1,2
2016,2150000,43000,2,1,1
2013,450000,1000,2,2,2
2018,3800000,10000,2,1,1
2013,1580000,86000,2,1,1
2019,4950000,30000,2,1,1
2016,535000,52600,2,2,1
2012,225000,110000,1,2,2
2017,550000,19890,1,1,1
2016,670000,7104,1,2,1
2015,625000,11918,1,2,1
2017,520000,10510,1,1,1
2016,239000,41000,1,2,1
2017,2600000,47162,2,1,1
2015,750000,45974,2,2,1
2012,229999,49824,1,2,1
2013,1300000,58500,2,1,1
2005,80000,56580,1,2,1
2012,385000,52000,2,2,1
2015,760000,55340,1,2,1
2017,600000,46507,2,2,1
2013,450000,1000,2,2,2
2018,3800000,10000,2,1,1
2013,1580000,86000,2,1,1
2019,4950000,30000,2,1,1
2016,535000,52600,2,2,1
2012,225000,110000,1,2,2
2017,550000,19890,1,1,1
2016,670000,7104,1,2,1
2015,625000,11918,1,2,1
2017,520000,10510,1,1,1
2016,239000,41000,1,2,1
2017,2600000,47162,2,1,1
2015,750000,45974,2,2,1
2012,229999,49824,1,2,1
2013,1300000,58500,2,1,1
2005,80000,56580,1,2,1
2012,385000,52000,2,2,1
2015,760000,55340,1,2,1
2017,600000,46507,2,2,1
2013,450000,1000,2,2,2
2018,3800000,10000,2,1,1
2013,1580000,86000,2,1,1
2019,4950000,30000,2,1,1
2016,535000,52600,2,2,1
2012,225000,110000,1,2,2
2017,550000,19890,1,1,1
2016,670000,7104,1,2,1
2015,625000,11918,1,2,1
2017,520000,10510,1,1,1
2016,239000,41000,1,2,1
2017,2600000,47162,2,1,1
2015,750000,45974,2,2,1
2012,229999,49824,1,2,1
2013,1300000,58500,2,1,1
2005,80000,56580,1,2,1
2012,385000,52000,2,2,1
2015,760000,55340,1,2,1
2017,600000,46507,2,2,1
2013,450000,1000,2,2,2
2018,3800000,10000,2,1,1
2013,1580000,86000,2,1,1
2019,4950000,30000,2,1,1
2016,535000,52600,2,2,1
2012,225000,110000,1,2,2
2017,550000,19890,1,1,1
2016,670000,7104,1,2,1
2015,625000,11918,1,2,1
2017,520000,10510,1,1,1
2016,239000,41000,1,2,1
2017,2600000,47162,2,1,1
2015,750000,45974,2,2,1
2012,229999,49824,1,2,1
2013,1300000,58500,2,1,1
2005,80000,56580,1,2,1
2012,385000,52000,2,2,1
2015,760000,55340,1,2,1
2017,600000,46507,2,2,1
2013,350000,50000,1,2,2
2014,114999,30000,1,2,1
2013,380000,50000,1,2,2
1995,95000,100000,1,2,2
2016,900000,35000,2,2,1
2012,200999,90000,1,2,2
2014,229999,11451,1,2,1
2019,800000,60000,2,2,1
2012,150000,172000,2,2,2
2018,600000,60000,2,2,1
2005,150000,150000,2,2,1
2009,150000,66000,2,2,1
2019,380000,5000,1,2,1
2006,80000,66508,1,2,2
2007,225000,55000,1,2,2
2012,75000,29900,1,2,1
2017,1600000,3000,2,2,1
2012,185000,85000,2,2,1
2011,425000,50000,2,2,1
2010,100000,120000,2,2,2
2008,140000,90000,1,2,3
2017,710000,8000,1,1,1
2015,450000,7900,1,1,1
2017,210000,50000,1,2,1
2016,270000,25000,1,2,1
2009,110000,20000,1,2,1
2018,540000,17500,1,2,1
2008,145000,25000,1,2,1
2013,360000,206500,2,2,1
2013,250000,88600,4,2,1
2012,110000,80000,2,2,1
2008,250000,100000,2,2,4
2011,150000,186000,2,2,2
2010,140000,60000,1,2,1
2019,925000,11000,1,2,1
2017,969999,30000,2,2,1
2007,90000,80000,3,2,3
2001,55000,60000,1,2,3
2007,155000,100000,2,2,4
2019,900000,15000,2,2,1
2011,135000,90000,1,2,1
2012,180000,120000,1,2,1
2013,495000,100000,2,2,2
2009,400000,138000,2,2,3
2008,250000,110000,2,2,2
2015,138000,120000,1,2,4
2011,311000,70000,1,1,2
2015,190000,70000,1,2,1
2011,311000,140000,2,2,1
2009,300000,15000,1,2,1
2018,600000,20000,1,2,1
2009,550000,100000,2,2,1
2015,600000,70000,1,1,1
2018,195000,5000,1,2,1
2013,58000,27974,1,2,1
2018,183000,40000,1,2,1
2007,95000,80000,1,2,1
2013,250000,38000,1,2,1
2013,250000,38000,1,2,1
2014,400000,35000,1,2,1
2012,409999,60000,2,2,2
2004,120000,120000,2,2,2
2018,600000,18000,1,1,1
2016,600000,10000,1,2,1
2015,825000,90000,2,2,3
2016,625000,80000,2,2,2
2020,700000,1400,2,2,1
2011,160000,60000,1,2,1
2011,114999,60000,1,2,3
2009,150000,53000,1,2,1
2010,250000,100000,2,2,1
2012,390000,86000,2,2,2
2015,650000,100000,2,2,1
2016,600000,30000,2,2,1
2011,250000,120000,1,2,1
2011,229999,60000,4,2,2
2016,299000,50000,2,2,2
2010,330000,124000,2,2,2
2012,180000,100000,1,2,3
2017,475000,42000,1,2,1
2015,325000,100000,2,2,1
2016,639000,28205,1,2,1
2017,415000,32670,1,1,1
2016,1199000,30093,2,1,1
2013,525000,56228,3,2,1
2013,425000,59319,1,2,1
2016,699000,39503,2,2,1
2013,325000,35299,1,2,1
2011,275000,51687,1,2,1
2011,269000,76259,1,1,1
2013,399000,44049,2,2,1
2017,475000,45087,2,2,1
2011,249000,41125,1,2,1
2014,1549000,42215,2,1,1
2011,254999,54206,1,2,1
2012,269000,52547,1,2,1
2014,665000,59110,2,2,1
2014,299000,54565,1,2,1
2010,265000,47564,1,2,2
2010,211000,45143,1,2,2
2013,599000,61624,1,1,2
2007,55000,195000,2,2,3
2014,550000,50000,2,2,1
2018,4000000,68000,2,1,1
2010,220000,120000,2,2,2
2019,500000,20000,1,2,1
2010,140000,30000,1,2,1
2013,325000,60000,2,2,1
2010,210000,90000,1,2,3
2008,110000,90000,1,2,2
2019,1200000,25000,2,2,1
2017,229999,40000,1,2,1
2012,225000,110000,1,2,2
2006,165000,132000,1,2,1
2018,525000,10980,1,1,1
2018,325000,20629,1,2,1
2018,1500000,50000,2,2,1
2015,400000,30000,1,1,1
2015,550000,69782,1,2,1
2003,98000,54000,1,2,1
2013,900000,63654,2,2,1
2017,700000,60000,2,2,1
2015,890000,52000,2,2,1
2015,490000,59385,2,2,1
2015,525000,70378,1,2,1
2013,330000,55425,1,2,1
2013,550000,78413,2,2,2
2018,790000,40890,2,2,1
2015,350000,34823,1,2,2
2017,1700000,75000,2,1,1
2017,750000,55545,2,2,1
2014,409999,56541,2,2,1
2016,220000,43700,1,2,1
2009,68000,120000,1,2,2
2017,290000,20000,1,2,1
2014,600000,27483,2,2,1
2019,470000,8000,1,2,1
2008,150000,30000,1,2,1
2014,180000,56207,1,2,2
2006,80000,70000,1,2,1
2018,875000,1440,1,2,1
2019,300000,50000,1,2,1
2017,2800000,20000,2,1,1
2017,1330000,91195,2,2,1
2011,220000,63657,2,2,1
2013,250000,60000,2,2,1
2016,919999,75000,2,2,1
2013,380000,97248,1,2,1
2012,450000,46000,2,2,1
2016,770000,10000,1,1,1
2018,550000,80000,2,2,1
2011,320000,100000,2,2,2
2013,400000,35000,1,2,1
2017,450000,50000,1,1,1
2011,220000,90000,2,2,3
2012,400000,150000,2,2,2
2013,530000,89000,1,2,2
2014,390000,60000,2,2,2
2012,185000,100000,2,2,2
2012,300000,100000,1,2,2
2014,575000,90000,2,2,2
2014,300000,75000,1,2,1
2017,425000,36000,2,2,1
2016,350000,12000,1,2,1
2017,550000,12997,2,2,1
2017,500000,40000,1,1,1
2015,600000,60000,2,2,1
2013,300000,25000,2,2,2
2018,1150000,26430,2,2,1
2015,475000,24600,1,2,1
2011,260000,28481,1,2,1
2013,350000,100000,1,2,1
2013,750000,41988,2,2,1
2009,180000,30375,1,2,1
2017,350000,7658,1,1,1
2017,611000,34400,2,2,1
2017,325000,18500,1,2,1
2012,225000,48000,1,2,1
2014,300000,28942,1,1,1
2017,400000,50000,2,2,2
2012,711000,53600,2,2,1
2015,851000,53652,2,2,1
2014,500000,25000,1,2,1
2007,250000,80000,2,2,2
2017,150000,50000,1,2,1
2016,610000,15000,2,2,2
2018,450000,5000,1,2,1
2017,744000,106000,2,2,1
2008,120000,100000,1,2,3
2016,220000,60000,1,2,3
2012,480000,120000,2,2,4
2017,370000,82000,1,1,1
2003,55000,35000,2,2,2
2013,125000,205000,1,2,1
2011,260000,125000,2,2,3
2015,350000,130000,2,2,1
2012,170000,97000,3,2,2
2015,350000,90000,1,2,2
2009,250000,60000,1,2,3
2013,170000,60000,2,2,1
2018,1300000,35000,2,2,1
2019,550000,25000,1,2,1
2017,400000,15000,1,2,1
2011,120000,20000,1,2,1
2011,120000,20000,1,2,1
2010,275000,70000,1,2,1
2016,285000,90000,1,2,1
2016,900000,80000,2,2,1
2014,2500000,79500,2,1,2
2013,620000,70000,2,2,2
2018,1700000,5000,2,2,1
2018,650000,15000,1,2,1
2014,500000,35000,1,2,1
2009,250000,120000,2,2,2
2018,950000,15000,2,2,2
2015,320000,60000,1,2,1
2013,450000,120000,2,2,1
2016,350000,90000,2,2,1
2015,400000,90000,1,2,1
2018,200000,10000,1,2,1
2009,250000,72000,2,2,2
2011,550000,197000,1,2,2
1999,85000,70000,1,2,2
2001,52000,50000,1,2,3
2017,1200000,50000,2,1,1
2011,450000,60000,1,1,3
2018,615000,40000,1,2,1
2012,400000,60000,2,2,2
2013,60000,40000,1,2,1
2017,500000,9161,1,2,1
2015,600000,45000,1,2,1
2010,110000,110000,1,2,1
2013,175000,80000,1,2,1
2011,325000,100000,2,2,2
2017,425000,90000,2,2,1
2009,160000,70000,3,2,3
2007,100000,80000,1,2,3
2014,390000,110000,2,2,2
2017,400000,50000,1,2,1
2018,509999,5000,1,2,1
2008,150000,90000,1,2,3
2009,110000,120000,1,2,1
2013,450000,80000,2,2,1
2017,400000,38000,1,2,2
2009,140000,120000,1,2,1
2011,130000,90000,2,2,1
2017,160000,50000,1,2,1
2016,150000,60000,1,2,1
2013,500000,100000,2,2,2
2011,40000,19000,1,2,1
2006,140000,200000,2,2,3
2015,227000,70000,2,2,2
2011,285000,50000,2,2,2
2012,155000,19077,1,2,2
2016,210000,30000,1,2,1
2009,140000,80000,1,2,2
2015,940000,128000,2,2,1
2013,750000,80000,2,2,1
2016,610000,100000,2,2,1
2015,450000,50000,2,2,1
2012,409999,56000,2,2,1
2018,100000,21302,1,2,1
2018,300000,10500,1,2,1
2013,400000,107000,2,2,1
2010,210000,60000,1,2,2
2006,90000,120000,1,2,2
2010,222000,70000,1,2,1
2015,240000,50000,1,2,2
2013,450000,70000,2,2,2
2013,450000,1000,2,2,2
2018,3800000,10000,2,1,1
2013,1580000,86000,2,1,1
2019,4950000,30000,2,1,1
2016,535000,52600,2,2,1
2012,225000,110000,1,2,2
2017,550000,19890,1,1,1
2016,670000,7104,1,2,1
2015,625000,11918,1,2,1
2017,520000,10510,1,1,1
2016,239000,41000,1,2,1
2017,2600000,47162,2,1,1
2015,750000,45974,2,2,1
2012,229999,49824,1,2,1
2013,1300000,58500,2,1,1
2005,80000,56580,1,2,1
2012,385000,52000,2,2,1
2015,760000,55340,1,2,1
2017,600000,46507,2,2,1
2013,450000,1000,2,2,2
2018,3800000,10000,2,1,1
2013,1580000,86000,2,1,1
2019,4950000,30000,2,1,1
2016,535000,52600,2,2,1
2012,225000,110000,1,2,2
